Title;Release_Date;Developers;Summary;Platforms;Genres;Rating;Plays;Playing;esrb_rating
Counter-Strike 1.6;Nov 01, 2000;['Valve'];Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.;['Windows PC'];['Shooter'];3.7;4.3K;30;
Pokémon Añil;Mar 23, 2023;['Eric Lost'];Pokémon Añil is the fourth video game created by EricLostie after "Pokémon Opalo". Kanto returns, but this time from a perspective never seen before, with a much deeper story and improved graphics.;['Windows PC'];['RPG'];3.7;24;9;
Neotrogla;Apr 22, 2023;['Squigglydot'];Neotrogla is a Twine horror story about discomfort in who you are, urban decay, weird hobbies, and bugs. /n Written for the SCREAM JAM 2022+1 in a little under a week.;['Web browser'];['Visual Novel'];3.4;24;0;
Northern Journey;Aug 18, 2021;['Slid Studio'];A norwegian happysad game set in a northern land! Adventure through a beautiful and very varied wildereness. Dive, fly, use ziplines and find different weapons to aid your journey to reach the cold mountains and below. Encounter over 50 unique bosses and enemy types!;['Windows PC'];['Adventure'];4.1;125;17;
Like a Dragon: Infinite Wealth;TBD;[];;[];[];N/A;0;0;
Persona 2: Eternal Punishment;May 17, 2012;['Atlus'];Persona 2: Eternal Punishment is a 2000 role-playing video game by Atlus for the PlayStation. It is chronologically the third installment in the Persona series, a subseries of the Megami Tensei franchise. The game was later remade by Atlus for the PlayStation Portable. This version, released in Japan in 2012, did not receive an overseas release. In response to this, the PlayStation version was released on PlayStation Network in 2013. /n Eternal Punishment takes place in the fictional Japanese city of Sumaru, and is a direct sequel to Persona 2: Innocent Sin. Taking place a few months after Innocent Sin, the game follows reporter Maya Amano as she investigates the Joker Curse, a malign phenomenon where people's wishes and rumors are coming true and causing chaos. During her investigations, she and others who join her gain the ability to summon Personas, personified aspects of their personalities. The gameplay features turn-based battle gameplay, where characters use their Personas in battle against demons, and a separate Rumor system, where rumors spread around the city can influence events in the characters' favor, either bad or good.;['PlayStation Portable'];['RPG'];4.5;155;21;Teen
BLACK SOULS;TBD;[];A role-playing game from Eeny, meeny, miny, moe?.;[];[];4.0;183;10;
Microsoft Minesweeper;Oct 08, 1990;['Microsoft'];Microsoft Minesweeper (formerly just Minesweeper, and also known as Flower Field) is a minesweeper-type video game created by Curt Johnson, originally for IBM's OS/2, that was ported to Microsoft Windows by Robert Donner, both Microsoft employees at the time.;['Windows PC'];['Puzzle'];3.2;2.6K;13;
Splatoon 2: Octo Expansion;Jun 13, 2018;['Nintendo'];"This full-on single-player adventure spans 80 missions starring Agent 8, an Octoling who awakens on a dark subway platform. Navigate this mysterious underground test facility in a desperate battle to reach the surface of Inkopolis. Escape from these twisted depths, and you’ll finally be able to join multiplayer matches as an Octoling!" /n "The new adventure features 80 missions starring Agent 8, a new character who awakens without her memories on a dark subway platform. Navigate the twisted depths in a battle to reach the surface of Inkopolis. Once you escape, you'll be able to join multiplayer matches as an Octoling! /n - Play as an Octoling who's lost her memory in a new single-player adventure spanning 80 missions. /n - Navigate an underground facility to reach the surface of Inkopolis. /n - Take on a variety of mission types packed with new challenges you won't find in the main game. /n - Complete the campaign to unlock Octolings (Girl or Boy) as playable characters in multiplayer battles. /n - Unravel mysteries hidden below Inkopolis with Pearl, Marina, & Cap'n Cuttlefish.";['Nintendo Switch'];['Shooter'];4.3;2.6K;44;
Sulfur;TBD;['Perfect Random'];Sulfur is a modern old-school action-adventure: Outsmart enemies, find treasure, improve weapons, harness powers. Delve deeper, find answers, make it end.;['Windows PC'];['Shooter'];N/A;0;0;
Metal Gear Solid;Apr 24, 2000;['Konami'];Metal Gear Solid is a Game Boy Color spinoff of the popular stealth action game Metal Gear Solid. This is not a port of said game but an original game made specifically for the Game Boy Color. Metal Gear Solid is a non-canon game that serves as an alternate sequel to the events of the original Metal Gear.;['Game Boy Color'];['Shooter'];3.7;599;8;Mature
Star Fox 64 3D;Jul 17, 2011;['Nintendo'];The Star Fox team triumphantly returns to one of its greatest missions with this remake of Star Fox 64 in full 3D, featuring a complete graphical update. /n The entire Star Fox universe spreads out realistically into the depths of the Nintendo 3DS screen while the 3D visuals give the player a clearer grasp of distance and position. This makes the game more approachable and intuitive, thereby allowing players to focus on the action.;['Nintendo 3DS'];['Shooter'];3.7;1.9K;13;
Donkey Kong Country Returns 3D;May 23, 2013;['Nintendo'];Over 70 levels of banana-hoarding fun featuring Donkey Kong and Diddy Kong. Run, jump, climb and defeat enemies through diverse environments until you retrieve Donkey Kong's stolen banana hoard. Rebuilt and optimized for portable play on the Nintendo 3DS system.;['Nintendo 3DS'];['Platform'];3.8;1.5K;48;
Microsoft Solitaire;May 22, 1990;['Microsoft'];Solitaire, also known as Microsoft Solitaire is a computer game included with Microsoft Windows, based on a card game of the same name.;['Windows PC'];['Card & Board Game'];3.1;1.5K;7;
The Thing You Can't Defeat;Jul 25, 2022;[];Experimental mod for Ultimate Doom. Doomguy has dementia. The Thing you can’t Defeat lets you replay the first episode of Ultimate Doom as it slowly morphs into a confusing and demented nightmare. /n This WAD was HEAVILY inspired by the WAD “Doom but somethings not right” and the album “Everywhere at the end of time” by The Caretaker.;['Windows PC'];['Shooter'];2.8;12;0;
A Hint of Purple;May 25, 2023;[];A short visual novel about queer love and art. Follow Maya, a once-celebrated painter now paralyzed, as she struggles to accept her new reality and its effects on her relationship. Argue with your Prefrontal Cortex, insult an art critic, befriend the elderly.;['Windows PC'];['Indie'];4.2;5;0;
Digimon Rumble Arena;Dec 06, 2001;['Bandai'];Digimon Rumble Arena is a crossover fighting video game developed and published by Bandai in association with Hudson Soft for the PlayStation video game console. /n Players are able to choose from up to 24 characters (fifteen of which need to be unlocked) from the Digimon Adventure and Digimon Tamers seasons of the Digimon anime, such as Terriermon, Agumon, Gatomon, and Renamon.;['PlayStation'];['Fighting'];3.2;1.3K;8;
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs King Abaddon;Oct 23, 2008;['Atlus'];Devil Summoner Raidou Kuzunoha is back on the case in this action RPG sequel. While Kuzunoha may look like your average gumshoe, he's anything but. When Japan's capital is threatened, Kuzunoha and his demon-summoning powers are called into action. Crack a new case load in stylish 1920s Japan. You've got more than double the number of demons to negotiate with. Win them over to harness their abilities, then fuse them to increase their powers or control two at a time to create more tactical combat options. Combat is even better than ever, with new battle mechanics and a retooled Weapons Alchemy system that lets you create swords to deliver special attacks.;['PlayStation 2'];['RPG'];3.9;536;35;
Jump Ultimate Stars;Nov 23, 2006;['Ganbarion'];Jump Ultimate Stars is a fighting video game developed by Ganbarion and published by Nintendo for the Nintendo DS. It is the sequel to Jump Super Stars. The game was released in Japan on November 23, 2006. /n The game keeps many features from its predecessor, and adds many more. The game boasts 305 characters (56 of which are fully playable) from 41 different Shōnen manga series.;['Nintendo DS'];['Fighting'];3.7;913;4;
1-2-Switch;Mar 03, 2017;['Nintendo'];1-2-Switch is a party game for everyone! Throw an impromptu party anywhere with anyone thanks to a new play style in which players look at each other—not the screen! Bring the action and fun into the real world as you face off in wild-west duels, cow-milking competitions, and more. While the action unfolds off-screen, the audience watches the players themselves instead of the screen.;['Nintendo Switch'];['Arcade'];2.0;1.1K;4;Everyone 10+
Mario Party 10;Mar 12, 2015;['Nintendo'];Mario Party 10 has tons of fun new ways to play, challenge, and triumph over your friends, with new modes and a wealth of other exciting goodies. Strategize your way around a variety of unique boards to gather coins and stars, and best your buddies. In Bowser Party mode, you can take the role of bad guy Bowser to mess with your friends’ game. Need to let off some steam? Challenge your friends to a bunch of exciting minigames, unlock bonus content, and more.;['Wii U'];['Card & Board Game'];2.0;1.7K;3;
Tokyo Mirage Sessions #FE Encore;Jan 17, 2020;['Nintendo'];You and the rising stars you call friends will need to call on your own creative power - manifested as iconic Fire Emblem characters - to wage a secret war on rogue spirits that feed on creativity. Each encounter will immerse you in deep, turn-based battles that blend the combat of the Fire Emblem and Shin Megami Tensei series into one brutal harmony. Fuse items to craft weaponry, then play to your strengths and crush your foes. Around every corner you'll find fun nods to multiple fandoms, including Fire Emblem references, dungeons themed to the entertainment industry, and stunning musical performances.;['Nintendo Switch'];['RPG'];3.5;886;99;
Minecraft: Xbox 360 Edition;May 09, 2012;['Mojang Studios'];Imagine it, build it! Minecraft: Xbox 360 Edition lets you create worlds from the comfort of your sofa. Play alone or play with your friends. Explore, build and conquer! At night monsters come out, so make sure to build a shelter before that happens. After that, your world is your imagination. Turn your hours into minutes with Minecraft!;['Xbox 360'];[];3.9;2.2K;7;
Moonlight Syndrome;Oct 09, 1997;[];Moonlight Syndrome is a horror-themed adventure game developed and published by Human Entertainment for the PlayStation in October 1997. An entry in the company's Twilight Syndrome series, the game was directed and co-written by Goichi Suda.;['PlayStation'];[];4.1;72;11;
duplicate Overwatch: Origins Edition;TBD;['Blizzard Entertainment'];;[];[];N/A;0;0;
Elsewhere in the Night;Dec 06, 2022;['Cosmic Void'];Elsewhere in the Night is a 2D psychic noir point and click adventure game. Play as private detective Lady Tick Tock as she investigates the latest in a string of unsolved murders.;['Windows PC'];[];3.4;4;0;
Toilet in Wonderland;Jan 01, 2010;['Team Nonsense'];Toilet in Wonderland is a surreal exploration game made in RPG Maker 2000. It's a parody of Alice in Wonderland, where instead of the world being created by the protagonist's imagination, it is created by the protagonist, Mira's, constipation.;['Windows PC'];['Adventure'];3.8;162;1;
Shadow Hearts;Jun 28, 2001;['Sacnoth'];Shadow Hearts is the first official game in the Shadow Hearts series and is the sequel to Koudelka. Shadow Hearts follows the adventures of Yuri Hyuga, a Harmonixer guided by a mysterious voice in his head. He finds himself thrown into the conflicts prior to World War I where he must save the world and the woman he loves from destruction.;['PlayStation 2'];['RPG'];3.7;491;37;Mature
Umineko: When the Seagulls Cry;Aug 17, 2007;[];;['Windows PC'];[];4.5;372;13;
Gingiva;Sep 22, 2013;['myformerselves'];Surreal RPG from Middens author, Gingiva features seven playable characters, more than 5 hours of gameplay, over 100 fully animated creature portraits, multiple paths and varied endings.;['Windows PC'];['RPG'];3.4;61;1;
SCP: Secret Laboratory;Dec 28, 2017;['Northwood Studios'];Deep within the SCP Foundation during a containment breach, many of the anomalies have bypassed security and escaped from their chambers - without peaceful intentions. Become site personnel, a re-containment agent, or an anomalous entity and fight to take control of or escape the facility!;['Windows PC'];[];2.9;996;12;
Land Maker;Jun 01, 1998;[];A player versus player puzzle game where blocks are arranged by color in order to build houses. Depending on the size of the house built, the player receives various rewards.;['Arcade'];['Puzzle'];3.3;14;0;
Steel Seed;TBD;['Storm in a Teacup'];Steel Seed is a single player stealth-action adventure game set in a dark sci-fi world. In her epic journey inside a hostile underground facility run by AIs, Zoe is alone with Koby, a flying drone, as her only companion.;['Windows PC'];['Adventure'];N/A;0;0;
Fire Emblem: Three Houses - Cindered Shadows;Feb 12, 2020;['Nintendo EAD Tokyo Software Development Group No.1'];Cindered Shadows is a DLC sidestory in Fire Emblem: Three Houses where the focus is given to the Ashen Wolves Yuri, Constance, Balthus, and Hapi who resides in the Abyss, a whole town below Garreg Mach Monastery.;['Nintendo Switch'];['Turn Based Strategy'];3.4;872;15;
Mega Man: The Power Battle;Oct 01, 1995;['Capcom'];Mega Man: The Power Battle, known in Japan as Rockman: The Power Battle, is an arcade video game and a spin-off title for the Mega Man series. It was released in Japan in 1995 and was followed by a sequel, Mega Man 2: The Power Fighters, the following year.;['Arcade'];['Fighting'];3.2;531;1;
Custom Robo;Mar 04, 2004;['Nintendo'];You've been challenged to a fight, and the robots are waiting. Do you pick a Ray 01 body and equip it with a Wyvern gun and Burrow bomb P, or do you opt for a Javelin with Satellite pod and Feather legs? Custom Robo lets you and up to three friends customize robots with nearly 200 unique parts, then turns you loose in a virtual battlefield to prove who's the top robot commander.;['Nintendo GameCube'];['RPG'];3.8;542;5;
Mega Man: The Power Battle;Oct 01, 1995;['Capcom'];Mega Man: The Power Battle, known in Japan as Rockman: The Power Battle, is an arcade video game and a spin-off title for the Mega Man series. It was released in Japan in 1995 and was followed by a sequel, Mega Man 2: The Power Fighters, the following year.;['Arcade'];['Fighting'];3.2;531;1;
Castlevania Requiem: Symphony of the Night & Rondo of Blood;Oct 26, 2018;['Konami Digital Entertainment'];Experience two of the greatest games from the famous Castlevania series. /n Make your way to the top of Dracula's castle as Richter Belmont, descendant of the famed clan of vampire hunters, in 'Rondo of Blood', or take the leading role as Dracula's son Alucard in 'Symphony of the Night'. /n Enjoy the unique world, the epic classical background music, and the side-scrolling action of the Castlevania series!;['PlayStation 4'];['Platform'];4.4;467;30;Teen
Club Penguin: Elite Penguin Force;Nov 25, 2008;['Disney Interactive Studios'];Club Penguin: Elite Penguin Force is a DS game based on Disney's popular online world Club Penguin;['Nintendo DS'];['Adventure'];3.0;819;3;
Termo;Jan 05, 2022;[];"Termo" is the Brazilian version of the browser game "Wordle", where your objective is to guess a 5 letter term within 6 tries. With each attempt, the color of each letter will tell you how close you are to the answer.;['Web browser'];['Puzzle'];3.7;93;5;
Cool Riders;TBD;[];Cool Riders is a 1994 racing arcade game. It is a spiritual sequel to Sega's OutRunners.;[];[];3.8;6;0;
Batman: The Video Game;Dec 22, 1989;['Sunsoft'];Batman: The Video Game, is a group of platform games developed by Sunsoft for the Nintendo Entertainment System and Game Boy, loosely based on the 1989 film of the same name. Despite having the same title, each is actually a different game. The NES title is arguably the best known and contains five levels culminating in a final showdown with the Joker in the bell tower of Gotham Cathedral. It was received well despite changes from the movie upon which it was based. /n Sunsoft later released Batman: Return of the Joker as a follow-up which is not related to any movie.;['NES'];['Platform'];3.4;785;7;
Street Fighter EX plus Alpha;Jul 17, 1997;['Capcom'];Street Fighter EX plus Alpha is the Playstation-exclusive home console port of the arcade game Street Fighter EX Plus, itself an updated version of Street Fighter EX. This version includes two new characters (Dhalsim and Sakura), additional game modes, as well as an arranged soundtrack and CG endings.;['PlayStation'];['Fighting'];3.3;330;3;
Star Wars: Jedi Knight - Dark Forces II;Sep 30, 1997;['LucasArts'];Whatever path Kyle Katarn chooses will change the face of the galaxy forever. /n Star Wars Jedi Knight: Dark Forces II continues the story of Kyle Katarn, a young mercenary that successfully infiltrated the Empire, as he embarks on a quest to discover his past and learn the ways of the Jedi. /n In order to protect the galaxy Katarn must confront his father's murderers, led by the Dark Jedi Jerec, and stop them from obtaining the mysterious powers of a "Valley of the Jedi", a focal point for Jedi power and a Jedi burial ground. As Katarn embarks on his journey to defeat the Dark Jedi he must also shape his destiny, by choosing to follow either the light side, or the dark side.;['Windows PC'];['Shooter'];3.6;602;11;
Time Hollow;Mar 19, 2008;['Konami'];Time Hollow follows the story of Ethan Kairos and the mysterious disappearance of his entire family. As Ethan searches for his family he comes across a Hollow Pen, an uncanny object with the unique power to open portals to the past. This allows Ethan to change the past in order to solve problems in the present. Through the use of this mystical pen he must follow events in the present and past to locate his missing family.;['Nintendo DS'];['Adventure'];3.1;367;4;
Dragon Ball Z: Budokai Tenkaichi 4;TBD;[];;[];['Fighting'];N/A;0;0;
Mario Kart Wii: CTGP Revolution;Jan 12, 2014;['MrBean35000vr'];CTGP Revolution is a mod for Mario Kart Wii which adds many new custom tracks and cups to the game.;['Wii'];['Racing'];4.5;116;12;
Google Play Games;Jul 24, 2013;['Google'];;['Android'];[];1.6;17;0;
One Chance;Dec 02, 2010;['Awkward Silence Games'];Scientist John Pilgrim and his team have accidentally created a pathogen that is killing all living cells on Earth (bummer, right?). In the last 6 remaining in-game days on Earth, the player must make choices about how to spend his last moments. The game can only be played through once.;['Windows PC'];['Adventure'];2.5;212;0;
Granny Simulator;Aug 17, 2019;[];;['Windows PC'];[];2.6;41;0;Everyone 10+
Digimon World Dusk;Mar 29, 2007;['Namco Bandai Games'];Digimon World Dusk, originally released as Digimon Story Moonlight in Japan, is a Digimon video game for the Nintendo DS handheld game console. It was released in Japan on March 29, 2007 and North America on September 18, 2007. It serves as the second game in the Digimon Story series, though it was marketed as a game within the Digimon World series in North America.;['Nintendo DS'];['RPG'];3.4;553;6;
Red Steel 2;Mar 23, 2010;['Ubisoft Paris'];The game begins as an unnamed Hero, the last member of the Kusagari Clan, is being dragged across the desert, tied to the back of a motorcycle. He manages to break free, but Payne, the leader of the Jackals - a vast gang of thugs, murderers and thieves - steals the Hero's katana. While running from the Jackals, the Hero rescues his old swordsmaster Jian who was to soon be executed by the Jackals. After the rescue, Jian allows the Hero to borrow his sword until the Hero can recover his own from Payne.;['Wii'];['Shooter'];3.6;334;8;
Hatsune Miku: Project Diva Future Tone;Jun 23, 2016;['Sega'];Hatsune Miku: Project Diva Future Tone is a home console port of Hatsune Miku: Project Diva Arcade Future Tone for the PlayStation 4, containing over 200 songs and 300 modules to collect.;['PlayStation 4'];['Music'];4.0;946;51;
Skribbl.io;Dec 31, 2017;['ticedev'];Skribbl.io is a free multiplayer drawing and guessing game. One game consists of a few rounds in which every round someone has to draw their chosen word and others have to guess it to gain points! The person with the most points at the end of game will then be crowned as the winner!;['Web browser'];[];3.2;938;3;
Shatterline;Sep 08, 2022;['Frag Lab LLC'];Shatterline is an arena FPS with a roguelike co-op mode (Expedition) as well as several traditional PvP modes such as TDM, Conquest, Plant-the-Bomb, and Escort. Players can choose Operatives and an armory of weapons that can be customized via attachments. Set in the near future, where humanity faces a threat of cosmic proportions. Players take on the roles of the Immunes – bearers of an extremely rare genetic combination that allows their bodies to resist the alien plague.;['Windows PC'];['Shooter'];2.6;101;6;
Digimon World Dawn;Mar 29, 2007;['Namco Bandai Games'];Digimon World Dawn, originally released as Digimon Story Sunburst in Japan, is a Digimon video game for the Nintendo DS handheld game console. It was released in Japan on March 29, 2007 and North America on September 18, 2007. It serves as the second game in the Digimon Story series, though it was marketed as a game within the Digimon World series in North America.;['Nintendo DS'];['RPG'];3.3;415;6;
Monster Hunter Portable 3rd;Dec 01, 2010;['Capcom'];Monster Hunter Portable 3rd is a game in the Monster Hunter franchise for the PlayStation Portable system that was released in Japan on December 1, 2010. The game was released, as a part of the PlayStation Portable Remaster series, on PlayStation 3.The game introduces new regions, monsters, and a revised Felyne combat system. Monster Hunter Portable 3rd is not an update to Monster Hunter Freedom Unite or Monster Hunter Tri. Monster Hunter Portable 3rd is instead separate to the rest of the series, and most of the game has been entirely remade.However, it is also a successor to Monster Hunter Freedom Unite as the third game in the Portable series.;['PlayStation Portable'];['RPG'];4.0;448;26;
Meteos;Mar 10, 2005;['Nintendo'];An evil planet named Meteo is sending storms of world-ending meteors across the galaxy, and only your puzzle skills can stop them. As blocks drop down on the lower screen, you must use the DS's stylus to match up blocks of the same color. Once you have enough blocks connected, they'll shoot back into the sky to form planets on the upper screen.;['Nintendo DS'];['Puzzle'];3.7;340;7;
My Nintendo Picross: The Legend of Zelda Twilight Princess;Mar 31, 2016;['Nintendo'];My Nintendo Picross: The Legend of Zelda Twilight Princess is a downloadable title only available through the My Nintendo rewards program.;['Nintendo 3DS'];['Puzzle'];3.3;559;13;
Misao;May 26, 2011;['Sen'];Misao is a freeware horror adventure game where you explore and escape from a high school trapped in another world by a malevolent curse.;['Windows PC'];['Puzzle'];2.7;535;4;
The Magical Quest Starring Mickey Mouse;Nov 20, 1992;['Capcom'];Pluto has disappeared and his pal Mickey is hot on his trail! But evil Emperor Pete won't make it easy. He's snatched poor Pluto and hidden him deep within his dungeon. Now, Mickey must summon his courage and begin a treacherous trek through Emperor Pete's magical world to rescure his chum before it's too late! /n Jump and touch the clouds as you and Mickey leap past buzzing bees and sinister snakes in the Treetops. Journey through the Dark Forest and dazzle Pete's guards with the power of Mickey's magical turban! Sink into the blazing inferno of the Fire Grotto and help Firefighter Mickey extinguish the flames! Scale the rocky heights of Pete's Peak and head straight for Emperor Pete's castle. Sneak inside, and Mickey must face the awesome might of Emperor Pete's sinister magic! Hurry! Pluto needs your help!;['SNES'];['Platform'];3.4;522;1;
Touhou Fuumaroku: The Story of Eastern Wonderland;Aug 15, 1997;['Team Shanghai Alice'];The Story of Eastern Wonderland casts the player as the Shrine Maiden Reimu Hakurei and offers three distinct attack types to choose from: a wide-range type with weak attack power, a mid-range type with moderate attack power and auto-targeting capabilities, and a narrow-range type with high attack power but lowered movement speed. The bombs also exhibit unique behavior depending on the type chosen. /n As the first danmaku shooting game in the Touhou Project, the Story of Eastern Wonderland introduces many features that are now hallmarks of the series as a whole: relatively small hit boxes, boss characters who are not much larger than the player character however are highly mobile, a power-up system, variable-worth point items, an unlockable Extra Stage, and a semi-complex scoring system. The game also marks the first appearance of Marisa Kirisame, who would become a major character in the series, appearing as often as Reimu Hakurei herself.;['PC-98'];['Shooter'];2.9;449;7;
Marathon Infinity;Oct 15, 1996;['Bungie'];Marathon Infinity takes the closed universe of the Marathon series and blows it wide open. The solo/co-op campaign, “Blood Tides of Lh’owon,” is a 20-level scenario sporting new textures, weapons, and aliens. More than that, the scenario sheds a surprising new light on the story’s characters and the meaning of events. Having defeated the Pfhor and reawakened the ancient remnants of the S’pht, the player now faces a world where friends become enemies and all is not what it seems…;['Mac'];['Shooter'];4.0;75;2;
Neon Genesis Evangelion;Jun 25, 1999;['Bandai'];This game is an interactive adaptation of Neon Genesis Evangelion for N64. Called Shinseki Evangelion in Japan, the Gainax-produced anime series originally aired from October '95 to March '96 and soon spawned a feature movie release in '97. The N64 game starts in the year 2015, 15 years after Second Impact. The Angels have returned and suddenly attack Tokyo-3. Using so-called "terror-fields" that cannot be penetrated by ordinary weapons, the Angels are taking on every human force sent out to oppose them. That's where you come in. As the pilot of the NERV-designed Evangelions, Shinji Ikari, you take your giant humanoid combat mech into battle with the Angels. Gameplay can best be described as interactive anime, as it relies heavily on timed button presses.;['Nintendo 64'];['Fighting'];2.3;174;4;
M.U.G.E.N;Jul 27, 1999;['Elecbyte'];MUGEN is a 2D fighting game engine developed by Elecbyte. Content is created by the community, and thousands of fighters, both original and from popular fiction, have been created.;['Windows PC'];['Fighting'];3.9;786;13;
Liar Liar;May 17, 2014;['tokimekiwaku'];The goal of the game is to aid Yukari, the heroine of this game to murder her boyfriend and get rid of anyone in your way! The game play should probably take roughly less than 15 minutes. There are three ways you can die, and there is only one true end.;['Windows PC'];['Visual Novel'];2.2;146;0;
Guess the Game;May 15, 2022;['Sam Stiles'];GuessTheGame is a daily puzzle game for video game enthusiasts. /n Every day a new game is selected and 6 screenshots from the game (some gameplay, some UI, some cutscenes - not guaranteed to strictly be gameplay!) are presented to you one at a time.;['Web browser'];['Quiz/Trivia'];3.2;199;19;
Naruto: Ultimate Ninja Heroes;Aug 28, 2007;['Namco Bandai Games'];Naruto: Ultimate Ninja Heroes is an English-exclusive fighting game and is the first English Naruto game on the PlayStation Portable. /n Naruto: Ultimate Ninja Heroes is essentially a scaled down version of Naruto: Ultimate Ninja 2 and an edited version of Narutimate Hero Portable. However, Ultimate Ninja Heroes is more of an action game whereas Narutimate Portable was more story oriented. The game also features 20 characters and several new features, such as a three-on-three fighting system, wireless two-player battles, and "hidden" team skills.;['PlayStation Portable'];['Fighting'];2.8;405;3;Teen
